date,sitename,county,aqi,status
14-08-2024 08:00,Annan,Tainan City,48,Good
14-08-2024 07:00,Annan,Tainan City,42,Good
14-08-2024 06:00,Annan,Tainan City,41,Good
14-08-2024 05:00,Annan,Tainan City,39,Good
14-08-2024 04:00,Annan,Tainan City,35,Good
14-08-2024 03:00,Annan,Tainan City,35,Good
14-08-2024 02:00,Annan,Tainan City,34,Good
14-08-2024 01:00,Annan,Tainan City,34,Good
14-08-2024 00:00,Annan,Tainan City,34,Good
13-08-2024 23:00,Annan,Tainan City,32,Good
13-08-2024 22:00,Annan,Tainan City,29,Good
13-08-2024 21:00,Annan,Tainan City,27,Good
13-08-2024 20:00,Annan,Tainan City,26,Good
13-08-2024 19:00,Annan,Tainan City,28,Good
13-08-2024 18:00,Annan,Tainan City,29,Good
13-08-2024 17:00,Annan,Tainan City,31,Good
13-08-2024 16:00,Annan,Tainan City,33,Good
13-08-2024 15:00,Annan,Tainan City,35,Good
13-08-2024 14:00,Annan,Tainan City,36,Good
13-08-2024 13:00,Annan,Tainan City,39,Good
13-08-2024 12:00,Annan,Tainan City,41,Good
13-08-2024 11:00,Annan,Tainan City,42,Good
13-08-2024 10:00,Annan,Tainan City,46,Good
13-08-2024 09:00,Annan,Tainan City,46,Good
13-08-2024 08:00,Annan,Tainan City,45,Good
13-08-2024 07:00,Annan,Tainan City,44,Good
13-08-2024 06:00,Annan,Tainan City,42,Good
13-08-2024 05:00,Annan,Tainan City,42,Good
13-08-2024 04:00,Annan,Tainan City,43,Good
13-08-2024 03:00,Annan,Tainan City,44,Good
13-08-2024 02:00,Annan,Tainan City,45,Good
13-08-2024 01:00,Annan,Tainan City,43,Good
13-08-2024 00:00,Annan,Tainan City,39,Good
12-08-2024 23:00,Annan,Tainan City,37,Good
12-08-2024 22:00,Annan,Tainan City,34,Good
12-08-2024 21:00,Annan,Tainan City,33,Good
12-08-2024 20:00,Annan,Tainan City,33,Good
12-08-2024 19:00,Annan,Tainan City,31,Good
12-08-2024 18:00,Annan,Tainan City,31,Good
12-08-2024 17:00,Annan,Tainan City,31,Good
12-08-2024 16:00,Annan,Tainan City,31,Good
12-08-2024 15:00,Annan,Tainan City,31,Good
12-08-2024 14:00,Annan,Tainan City,32,Good
12-08-2024 13:00,Annan,Tainan City,34,Good
12-08-2024 12:00,Annan,Tainan City,36,Good
12-08-2024 11:00,Annan,Tainan City,37,Good
12-08-2024 10:00,Annan,Tainan City,38,Good
12-08-2024 09:00,Annan,Tainan City,37,Good
12-08-2024 08:00,Annan,Tainan City,35,Good
12-08-2024 07:00,Annan,Tainan City,34,Good
12-08-2024 06:00,Annan,Tainan City,33,Good
12-08-2024 05:00,Annan,Tainan City,33,Good
12-08-2024 04:00,Annan,Tainan City,35,Good
12-08-2024 03:00,Annan,Tainan City,36,Good
12-08-2024 02:00,Annan,Tainan City,38,Good
12-08-2024 01:00,Annan,Tainan City,37,Good
12-08-2024 00:00,Annan,Tainan City,34,Good
11-08-2024 23:00,Annan,Tainan City,32,Good
11-08-2024 22:00,Annan,Tainan City,30,Good
11-08-2024 21:00,Annan,Tainan City,32,Good
11-08-2024 20:00,Annan,Tainan City,34,Good
11-08-2024 19:00,Annan,Tainan City,35,Good
11-08-2024 18:00,Annan,Tainan City,35,Good
11-08-2024 17:00,Annan,Tainan City,34,Good
11-08-2024 16:00,Annan,Tainan City,33,Good
11-08-2024 15:00,Annan,Tainan City,32,Good
11-08-2024 14:00,Annan,Tainan City,31,Good
11-08-2024 13:00,Annan,Tainan City,31,Good
11-08-2024 12:00,Annan,Tainan City,30,Good
11-08-2024 11:00,Annan,Tainan City,31,Good
11-08-2024 10:00,Annan,Tainan City,33,Good
11-08-2024 09:00,Annan,Tainan City,34,Good
11-08-2024 08:00,Annan,Tainan City,36,Good
11-08-2024 07:00,Annan,Tainan City,36,Good
11-08-2024 06:00,Annan,Tainan City,37,Good
11-08-2024 05:00,Annan,Tainan City,36,Good
11-08-2024 04:00,Annan,Tainan City,35,Good
11-08-2024 03:00,Annan,Tainan City,38,Good
11-08-2024 02:00,Annan,Tainan City,41,Good
11-08-2024 01:00,Annan,Tainan City,43,Good
11-08-2024 00:00,Annan,Tainan City,44,Good
10-08-2024 23:00,Annan,Tainan City,41,Good
10-08-2024 22:00,Annan,Tainan City,45,Good
10-08-2024 21:00,Annan,Tainan City,44,Good
10-08-2024 20:00,Annan,Tainan City,44,Good
10-08-2024 19:00,Annan,Tainan City,43,Good
10-08-2024 18:00,Annan,Tainan City,35,Good
10-08-2024 17:00,Annan,Tainan City,32,Good
10-08-2024 16:00,Annan,Tainan City,31,Good
10-08-2024 15:00,Annan,Tainan City,30,Good
10-08-2024 14:00,Annan,Tainan City,29,Good
10-08-2024 13:00,Annan,Tainan City,28,Good
10-08-2024 12:00,Annan,Tainan City,29,Good
10-08-2024 11:00,Annan,Tainan City,28,Good
10-08-2024 10:00,Annan,Tainan City,25,Good
10-08-2024 09:00,Annan,Tainan City,25,Good
10-08-2024 08:00,Annan,Tainan City,24,Good
10-08-2024 07:00,Annan,Tainan City,25,Good
10-08-2024 06:00,Annan,Tainan City,28,Good
10-08-2024 05:00,Annan,Tainan City,31,Good
10-08-2024 04:00,Annan,Tainan City,33,Good
10-08-2024 03:00,Annan,Tainan City,36,Good
10-08-2024 02:00,Annan,Tainan City,37,Good
10-08-2024 01:00,Annan,Tainan City,41,Good
10-08-2024 00:00,Annan,Tainan City,43,Good
09-08-2024 23:00,Annan,Tainan City,44,Good
09-08-2024 22:00,Annan,Tainan City,45,Good
09-08-2024 21:00,Annan,Tainan City,44,Good
09-08-2024 20:00,Annan,Tainan City,44,Good
09-08-2024 19:00,Annan,Tainan City,44,Good
